	Title	Year	Peak chart positions	Peak chart positions	Peak chart positions	Peak chart positions	Peak chart positions	Peak chart positions
	Title	Year	AUS [81][82]	FRA [83]	SWE [84]	SWI [85]	US [86]	US World [87]
0	Pretty	1981	—	—	—	—	—	—
1	Ewa Ka Djo (Let's Dance)[88]	1985	—	—	—	—	—	—
2	Parakou	1990	—	—	—	—	—	—
3	Logozo	1991	39	—	—	—	—	1
4	Ayé	1994	54	—	20	18	—	2
5	Fifa	1996	86	—	36	12	—	10
6	Oremi	1998	64	—	—	37	—	5
7	Keep On Moving: The Best of Angelique Kidjo	2001	176	—	—	—	—	10
8	Black Ivory Soul	2002	84	102	—	52	—	2
9	Oyaya!	2004	—	157	—	50	—	5
10	Djin Djin	2007	—	141	—	62	58	1
11	Õÿö	2010	146	—	—	—	—	4
12	Spirit Rising	2012	104	—	—	—	—	5
13	Eve	2014	—	—	—	—	—	1
14	Sings (with the Orchestre Philharmonique du Luxembourg)	2015	149	—	—	—	—	6
15	Remain in Light	2018	—	—	—	—	—	3
16	Celia	2019	—	—	—	73	—	8
17	Mother Nature[89]	2021	—	—	—	27	—	—
